target,fuzzer,trial,n_checkpoints,t_first_s,t_last_s,branch_total,auc_branch_seconds,auc_normalized,final_branches
libxml2,value_profile_cmplog,7,24,3600,86400,62948,781201800.0,0.149883,10125
libxml2,value_profile_cmplog,8,24,3600,86400,62948,773748000.0,0.148452,10217
libxml2,value_profile_cmplog,9,24,3600,86400,62948,777286800.0,0.149131,10306
libxml2,value_profile_cmplog,10,24,3600,86400,62948,737238600.0,0.141448,10094
libxml2,naive_ctx,1,24,3600,86400,62948,702801000.0,0.13484,9363
libxml2,naive_ctx,2,24,3600,86400,62948,646785000.0,0.124093,8875
libxml2,naive_ctx,3,24,3600,86400,62948,701281800.0,0.134549,9311
libxml2,naive_ctx,4,24,3600,86400,62948,734245200.0,0.140873,9378
libxml2,naive_ctx,5,24,3600,86400,62948,704368800.0,0.135141,9208
libxml2,naive_ctx,6,24,3600,86400,62948,678252600.0,0.130131,9349
libxml2,naive_ctx,7,24,3600,86400,62948,721989000.0,0.138522,9486
libxml2,naive_ctx,8,24,3600,86400,62948,722053800.0,0.138534,9415
libxml2,naive_ctx,9,24,3600,86400,62948,691578000.0,0.132687,9361
libxml2,naive_ctx,10,24,3600,86400,62948,702864000.0,0.134853,9371
libxml2,naive_ngram4,1,24,3600,86400,62948,655835400.0,0.12583,8682
libxml2,naive_ngram4,2,24,3600,86400,62948,623503800.0,0.119626,8374
libxml2,naive_ngram4,3,24,3600,86400,62948,693232200.0,0.133005,8971
libxml2,naive_ngram4,4,24,3600,86400,62948,636625800.0,0.122144,8144
libxml2,naive_ngram4,5,24,3600,86400,62948,659925000.0,0.126614,8507
libxml2,naive_ngram4,6,24,3600,86400,62948,663793200.0,0.127356,8887
libxml2,naive_ngram4,7,24,3600,86400,62948,633711600.0,0.121585,8455
libxml2,naive_ngram4,8,24,3600,86400,62948,656757000.0,0.126006,8672
libxml2,naive_ngram4,9,24,3600,86400,62948,684772200.0,0.131381,8842
libxml2,naive_ngram4,10,24,3600,86400,62948,616082400.0,0.118202,8337
libxml2,mopt,1,24,3600,86400,62948,683206200.0,0.131081,8932
libxml2,mopt,2,24,3600,86400,62948,698616000.0,0.134037,8985
libxml2,mopt,3,24,3600,86400,62948,660907800.0,0.126803,8621
libxml2,mopt,4,24,3600,86400,62948,718272000.0,0.137809,9013
libxml2,mopt,5,24,3600,86400,62948,677946600.0,0.130072,8853
libxml2,mopt,6,24,3600,86400,62948,697919400.0,0.133904,8796
