fuzzer,target,branch_id,n_resolved,n_blocked,n_reached,n_trials
honggfuzz,bloaty,1410,10,0,10,10
honggfuzz,bloaty,1411,10,0,10,10
honggfuzz,bloaty,33,2,8,10,10
honggfuzz,bloaty,34,3,7,10,10
honggfuzz,bloaty,1414,9,1,10,10
honggfuzz,bloaty,35,2,8,10,10
honggfuzz,bloaty,1415,10,0,10,10
honggfuzz,bloaty,1417,10,0,10,10
honggfuzz,bloaty,454,4,6,10,10
honggfuzz,bloaty,1419,10,0,10,10
honggfuzz,bloaty,1258,10,0,10,10
honggfuzz,bloaty,36,10,0,10,10
honggfuzz,bloaty,37,9,1,10,10
honggfuzz,bloaty,38,5,5,10,10
honggfuzz,bloaty,39,5,5,10,10
honggfuzz,bloaty,40,9,1,10,10
honggfuzz,bloaty,41,7,2,9,10
honggfuzz,bloaty,46,8,2,10,10
honggfuzz,bloaty,47,5,5,10,10
honggfuzz,bloaty,48,5,5,10,10
honggfuzz,bloaty,49,5,0,5,10
honggfuzz,bloaty,50,5,0,5,10
honggfuzz,bloaty,51,1,4,5,10
honggfuzz,bloaty,52,0,5,5,10
